Event Name,Format,Organizer,Start Date,City,Country,Description,URL
The Official Cybersecurity Summit: Los Angeles,In Person,Cybersecurity Summit,2025-11-20,Los Angeles,United States,"The 10th Annual Los Angeles Cybersecurity Summit connects cybersecurity executives and seasoned practitioners responsible for protecting their companies’ critical infrastructures with innovative solution providers and renowned information security experts. Admission offers attendees access to all interactive panels, discussions, catered breakfast, lunch and cocktail reception. Key topics include incident response and threat mitigation, emerging threats and security trends.",https://cybersecuritysummit.com/summit/losangeles25/
CIO Institute London | The Ultimate IT Networking Event of the UK,In Person,CIO Institute,2025-11-20,London,United Kingdom,"The CIO Institute event series offers a world-class day of collaboration, networking, and discussions addressing industry challenges and trends. Through thought leadership and practical strategies, this end-user-driven platform helps digital leaders enhance productivity and drive growth. Key topics include digital transformation, scaling cybersecurity, leveraging data for business value, and fostering technology leadership and culture. Bringing together 100+ hand-picked C-level and senior IT leaders, the event features Panel Discussions, Keynotes, Interactive Boardrooms, 1-2-1 meetings, and networking. Expert-driven insights ensure actionable takeaways for all participants.",https://cxo-institute.com/our-events/cio-institute-london-nov-2025/
"Executive Partners Network: InfoTech 2025, Düsseldorf",In Person,Executive Partners Network,2025-11-19,Düsseldorf,Germany,"Join us for a transformative day of networking, peer-to-peer discussions and thought leadership at InfoTech 2025 to help you navigate the complex intersection of technology, strategy, and leadership. Infotech 2025 is not just a conference; it's a nexus of innovation, collaboration, and forward-thinking insight. Explore pressing themes shaping the modern CIO landscape, from combating emerging threats to architecting resilient and scalable infrastructures for tomorrow's demands.",https://epnlive.com/event/dusseldorf25/
Executive Partners Network: Cybersecurity 2025,In Person,epnlive,2025-11-19,Düsseldorf,Germany,"Discover the ultimate gathering ground for trailblazing CISOs and cybersecurity leaders at CyberSec 2025. As the technology ecosystem continues to evolve at an unprecedented pace, and every digital interaction carries unprecedented importance, the role of the CISO has never been more critical.",https://epnlive.com/event/dusseldorfcybersec25/
The Official Cybersecurity Summit: Nationwide,Virtual,Cybersecurity Summit,2025-11-19,New York City,United States,"The Nationwide Cybersecurity Summit 2025 brings together top security executives, government leaders, and industry innovators to address today’s most pressing cyber challenges. This one-day, immersive event offers actionable insights through interactive panels, keynote sessions, and technology showcases, covering topics such as Zero Trust implementation, ransomware defense strategies, and the impact of AI on cybersecurity. Attendees will gain exclusive access to CISO-led discussions, regulatory updates, and cutting-edge security solutions designed to protect critical infrastructure and sensitive data.",https://cybersecuritysummit.com/summit/nationwide25/
SuriCon 2025,Hybrid,OISF,2025-11-19,Montreal,Canada,"SuriCon is an annual conference presented by the Open Information Security Foundation (OISF). The 11th annual event will be held in Montreal, Canada, from November 19-21, 2025.",https://suricon.net/
ERTL-YANG Leader Summit 2025: Amsterdam,In Person,ERTL-YANG,2025-11-18,Amsterdam,Netherlands,"Gain actionable insights and exchange ideas on the future of the digital enterprise, strategies and operations, predictive analytics and business transformation.",https://www.ertl-yang.com/ertl-yang-summits
Transformational CISO Assembly – November 2025,In Person,The Millennium Alliance,2025-11-18,Atlanta,United States,"The Transformational CISO Assembly is a groundbreaking opportunity for Global Chief Information Security Officers to meet face-to-face and connect on the current trends & challenges the industry is facing. The event offers access to leading enterprises while discussing topics including zero trust, cloud cyber risk, and the rise of generative AI. Attendees gain knowledge and connections to transform their organizations efficiently.",https://mill-all.com/assemblies/transformational-ciso-assembly-november-2025/
"Executive Partners Network: InfoTech 2025, US",Virtual,Executive Partners Network,2025-11-18,London,United Kingdom,"Join the virtual InfoTech US event, designed for US-based C-level executives, featuring keynote presentations and interactive round table discussions. Attendees will gain insights into the latest IT trends, challenges, and best practices, explore real-world solutions, and connect with peers through a virtual networking platform.",https://epnlive.com/event/infotech2024usnovember-2/
The Official Cybersecurity Summit,In Person,Cybersecurity Summit,2025-11-18,New York City,United States,"The 16th Edition of the New York Cybersecurity Summit connects cybersecurity executives and seasoned practitioners responsible for protecting their companies’ critical infrastructures with innovative solution providers and renowned information security experts. Admission offers attendees access to all interactive panels, discussions, catered breakfast, lunch and cocktail reception.",https://cybersecuritysummit.com/summit/newyork25-nov/
"Executive Partners Network: CyberSec 2025, US",Virtual,Executive Partners Network,2025-11-18,London,United Kingdom,"Join the CyberSec US (Virtual) event, designed for C-level executives in the US. This one-day online conference offers keynote presentations and interactive round table discussions, providing insights into cybersecurity challenges and solutions. Attendees can benefit from global accessibility, flexible scheduling, networking opportunities, and expert content to gain a holistic understanding of the latest trends and best practices in information technology.",https://epnlive.com/event/infotech2024usnovember/
Healthcare Innovation Summit - Seattle,In Person,Healthcare Innovation's Summit Series,2025-11-17,Seattle,United States,"The Healthcare Innovation Summit in Seattle on November 17, 2025, brings together C-level, physician, and healthcare decision-makers from North America. Attendees can expect interactive sessions addressing industry challenges, expert presentations, and ample networking opportunities to foster professional growth and share insights in healthcare IT security.",https://www.hisummits.com/seattle
IT Security Conference NYC 2025,In Person,Auroconferences,2025-11-17,New York City,United States,"The IT Security USA Conference Series is a premier annual event uniting senior IT security professionals, cybersecurity experts, and decision-makers from top-tier organizations. Attendees will explore cutting-edge solutions and strategies shaping the future of cybersecurity.",https://www.itsecurityus.com/
AI By The Bay 2025,In Person,Konfy,2025-11-17,Oakland,United States,"AI By the Bay is a three-day conference featuring advanced technical sessions and engineering insights from innovators in AI and data. Organized by Konfy, the event brings together developers from Bay Area meetups to explore themes like AI-Native Coding, Cloud Architectures for AI, and Knowledge, Data, and Models. The event features keynote speakers and a wide range of speakers from the tech community.",https://ai.bythebay.io/
QCon San Francisco International,In Person,qconsf,2025-11-17,San Francisco,United States,"The conciseness with which the event is presented, as well as the options for the tracks, allow one to either mix and match talks or focus on a single track of interest. It's an interesting and wonderful approach. The long breaks and 'unconference' opportunities are also quite unique in their ability to connect people from seemingly different backgrounds.",https://qconsf.com/medialisting2025
The Network Group: Information Security Network,In Person,The Network Group,2025-11-17,Copenhagen,Denmark,"The Nordic Information Security Network brings together CISOs from the largest organizations in the Nordic region to discuss current challenges, collaborate, and share experiences to maximize security defenses. The event, held at the Scandic Copenhagen, will focus on topics such as re-evaluating security strategies, building a security-conscious workforce, and adapting to evolving cyber threats.",https://thenetwork-group.com/nordic-information-security-network/
The Human Behavior Conference 2025,In Person,"Social-Engineer, LLC",2025-11-14,Orlando,United States,"The Human Behavior Conference 2025 will be held on November 14-15, 2025, at the Rosen College of Hospitality Management in Orlando, Florida. Attendees will learn how to understand and leverage human behavior to improve cybersecurity efforts. Key topics include decoding nonverbal cues, outthinking attackers, spotting and stopping insider threats, and mastering influence and persuasion. The conference aims to provide insights on detecting and mitigating insider risks, understanding the impact of nonverbals, and enhancing security awareness.",https://humanbehaviorcon.com/
FutureCon Cybersecurity Event,In Person,FutureCon Events,2025-11-13,Phoenix,United States,"Join FutureCon for a day of high-level cybersecurity training for C-suite executives and CISOs. The event features illuminating presentations, a panel discussion with C-level executives, and opportunities to demo the newest technologies. Attendees will gain insights into managing risk, discover cutting-edge security approaches, and network with industry leaders to prepare for the future of cybersecurity.",https://futureconevents.com/events/phoenix-az-2025
Netskope SASE Summit: Dubai 2025,In Person,Netskope,2025-11-13,Dubai,United Arab Emirates,The Netskope SASE Summit brings together industry leaders to discuss the latest trends and challenges in Security and Network Convergence (SASE).,https://www.netskope.com/company/events/netskope-sase-summit
ERTL-YANG Leader Summit 2025: Business Transformation,In Person,ertl-yang,2025-11-13,Stuttgart,Germany,Provide an unmatched opportunity for our community of global top-tier business leaders across industries to gain new perspectives on the challenges and opportunities of business transformation and create new and lasting business partnerships.,https://www.ertl-yang.com/ertl-yang-summits
Next IT Security Benelux: November 2025,In Person,nextitsecurity,2025-11-13,Amsterdam,Netherlands,"Insightful tips on measuring training effectiveness through data-driven metrics like behavior change, incident reduction, and engagement analytics. The session also highlights strategies for continuous program refinement, leveraging feedback loops, threat intelligence updates, and evolving workforce dynamics to keep awareness initiatives relevant and impactful over time. This approach helps organizations stay ahead of emerging cyber threats by fostering a proactive security culture.",https://nextitsecurity.com/benelux-november-2025/
IANS: CISO Roundtable Dallas,In Person,IANS,2025-11-13,Dallas,United States,"IANS CISO Roundtables bring together CISO peers and IANS Faculty practitioners to share best practices in a trusted, closed-door environment, without vendor presence. This is an opportunity to discuss critical issues shaping the security industry and dive into innovative solutions to face those challenges.",https://www.iansresearch.com/what-we-do/events/roundtables/details/2025/11/13/2025-ciso-roundtables/2025-november-13-ciso-roundtable
CIOMeet 2025: San Jose,In Person,CXO Inc.,2025-11-13,San Jose,United States,"CIOMeet events allow CIOs to discuss, debate, and challenge strategies through riveting panels, intimate roundtables, and 1:1 discussions. CIOMeet offers a dynamic and exclusive forum where Chief Information Officers (CIOs) and IT Strategists converge to engage in profound discussions, spirited debates, and rigorous examinations of Enterprise IT.",https://www.ciomeet.org/
Defenders Tour: SecOps Workshop - Oslo,In Person,LimaCharlie,2025-11-13,Oslo,Norway,"This hands-on workshop introduces a powerful architecture for modern security operations by integrating four complementary tools that address critical elements of the security lifecycle. Participants will learn how to build a scalable security foundation using LimaCharlie's SecOps Cloud Platform to consolidate your security stack, normalize telemetry from disparate sources, and investigate threats at scale. Attendees will leave with practical implementation strategies and real-world automation playbooks they can immediately apply to their security program.",https://lu.ma/defenders-tour-oslo
CIO NetworX Chicago,In Person,CXO Institute,2025-11-13,Chicago,United States,"CIO NetworX Chicago offers a private evening designed for CIOs and senior IT leaders to engage in meaningful dialogue, strategic networking, and peer-led knowledge exchange. Set in a relaxed yet refined environment, the event encourages candid conversations around today’s most critical enterprise technology challenges. The evening includes pre-arranged one-on-one meetings with vetted solution providers, executive car transfers, gourmet refreshments, and an intimate private insight dinner, providing a seamless blend of networking and value-driven discussion.",https://cxo-institute.com/our-events/cio-networx-chicago-nov-2025/
Mindfluence: CISO/Executive Leadership Forum,In Person,Mindfluence,2025-11-13,Denver,United States,"Join cybersecurity and technology leaders at the Mindfluence CISO/Executive Leadership Forum in Denver on November 13, 2025, to discuss evolving threats, AI's impact on the attack surface, and strategies for protecting critical infrastructure. Key topics include hybrid threats, threat actors, and building a mature cybersecurity culture.",https://mind-fluence.com/denver-2025/
29th Colloquium: Cybersecurity Education in the Age of AI and Automation & Ambiguity,In Person,CISSE (The Colloquium for Information Systems Security Education),2025-11-12,Seattle,United States,"The 29th Colloquium for Information Systems Security Education (CISSE) will explore the latest trends in cyber education and engage with SMEs from academia, government, and industry. This in-person event, hosted by Seattle University from November 12-14, 2025, emphasizes physical presence and active engagement through workshops, poster sessions, and panels.",https://cisse.info/e/29th/colloquium/
6th CISO 360 Middle East - Pulse conferences,In Person,Pulse Conferences,2025-11-11,Dubai,United Arab Emirates,The 6th CISO 360 Middle East Conference in Dubai (2025) will bring together CISOs and international cybersecurity leaders from the GCC region and beyond for discussions on driving resilience and securing the future. Attendees can expect to share strategies and benchmark roadmaps with fellow Chief Information Security Officers and technology risk leaders.,https://www.pulseconferences.com/conference/6th-ciso-360-middle-east/
Netskope SASE Summit: Riyadh 2025,In Person,Netskope,2025-11-11,Riyadh,Saudi Arabia,"The Netskope SASE Summit brings together cybersecurity and networking professionals to discuss the latest trends and challenges in Secure Access Service Edge (SASE). This event features hands-on labs, product demos, and workshops.",https://www.netskope.com/company/events/netskope-sase-summit
Defenders Tour: SecOps Workshop - London,In Person,LimaCharlie,2025-11-11,London,United Kingdom,"This hands-on workshop introduces a powerful architecture for modern security operations by integrating four complementary tools that address critical elements of the security lifecycle. Participants will learn how to build a scalable security foundation using LimaCharlie's SecOps Cloud Platform, improve threat intelligence capabilities using SOCRadar's contextual threat data, and connect these platforms into a unified security pipeline that reduces costs, improves detection coverage, and scales effortlessly to meet evolving threats. Attendees will leave with practical implementation strategies and real-world automation playbooks they can immediately apply to their security program.",https://lu.ma/defenders-tour-london
Corinium: CISO Dallas 2025,In Person,ciso-apex.coriniumintelligence,2025-11-11,Dallas,United States,"Join us for an engaging session where we delve into the evolving threat landscape in Australia and explore the impact of malicious cyber activities on organizations nationwide. Discover effective strategies to build robust cybersecurity measures and prevent incidents and exploitations. Learn how government, industry, academia, and citizens can collaborate to safeguard our country and communities. Don’t miss this opportunity to enhance your cybersecurity knowledge and contribute to a safer digital environment!",https://ciso-apex.coriniumintelligence.com/
KubeCon + CloudNativeCon North America,In Person,Cloud Native Computing Foundation,2025-11-10,Atlanta,United States,"The Cloud Native Computing Foundation’s flagship conference brings together adopters and technologists from leading open source and cloud native communities in Atlanta, Georgia from November 10-13, 2025. Be a part of the conversation as CNCF Graduated, Incubating, and Sandbox Projects unite for four days of collaboration, learning, and innovation to drive the future of cloud native computing.",https://events.linuxfoundation.org/kubecon-cloudnativecon-north-america-2025/
DEATHCon 2025 - Detection Engineering & Threat Hunting Conference,Hybrid,[email protected],2025-11-08,Seattle,United States,"DEATHCon is a globally-distributed cybersecurity conference for Detection Engineering and Threat Hunting (DEATH). The conference is 100% hands-on: Workshops, Hacking Laboratory, and Capture-the-Flag.",https://deathcon.io
6th Cyber Exchange 360: Talk to the Board,In Person,Pulse Conferences,2025-11-06,London,United Kingdom,"The 6th Cyber Exchange 360: Talk to the Board, hosted by Pulse Conferences, offers a rare opportunity for CISOs and information security practitioners to engage in reciprocal dialogue with Enterprise Board Directors. The event aims to revolutionize how large enterprises approach cybersecurity by fostering discussions on topics like crisis management, data privacy, digital transformation, and ethical frameworks. Participants can test questions with a panel of Board Directors, gaining insights into cybersecurity from a board perspective.",https://www.pulseconferences.com/conference/6th-cyber-exchange-360-talk-to-the-board/
"FutureCon Cybersecurity Conference - Atlanta, GA",In Person,FutureCon Events,2025-11-06,Atlanta,United States,"Join FutureCon in Atlanta for a cybersecurity event featuring presentations and a panel discussion with C-level executives. Attendees will learn about the latest cybersecurity developments, risk management, and cutting-edge security approaches. The event includes sponsor networking, CPE credits, and an awards ceremony.",https://futureconevents.com/events/atlanta-ga-2025
Netskope SASE Summit: Dublin 2025,In Person,Netskope,2025-11-06,Dublin,Ireland,Join Netskope for the SASE Summit in Dublin. This event will focus on Security and Network Convergence (SASE).,https://www.netskope.com/company/events/netskope-sase-summit
TechNext AI & Cybersecurity Summit 2025,In Person,TechNext,2025-11-06,Dubai,United Arab Emirates,"Experience the transformative power of artificial intelligence and cutting-edge cybersecurity at the TechNext AI & Cybersecurity Summit Dubai 2025. This premier event gathers industry leaders, visionary entrepreneurs, and tech pioneers to explore the latest trends in generative AI, AI models, and responsible AI systems.",https://technextcon.com/
Conf42: Prompt Engineering 2025,Virtual,Conf42,2025-11-06,London,United Kingdom,"Conf42 Prompt Engineering 2025 is an online event taking place on November 06, 2025. Join the best tech learning community.",https://www.conf42.com/prompt2025
